comment,label
không ưa,negative
đáng ghét,negative
thất bại,negative
vô vọng,negative
căng thẳng,negative
stress,negative
nản lòng,negative
bất lực,negative
không vui,positive
buồn chán,negative
chán,negative
tệ hại,negative
đắng,negative
tồi,negative
sầu,negative
bức xúc,negative
khó ưa,negative
mệt mỏi,negative
không thích,negative
phèn,negative
nản,negative
căm ghét,negative
phiền phức,negative
nhức đầu,negative
không chịu nổi,negative
ức chế,negative
tiêu cực,negative
xấu hổ,negative
thất vọng tràn trề,negative
chán đời,negative
phá sản,negative
tuyệt vọng,negative
tụt mood,neutral
quạo,negative
khó ở,negative
chán ngấy,negative
bó tay,negative
cú,negative
đau khổ,negative
khóc ròng,negative
trầm cảm,negative
cay cú,negative
bầm dập,negative
hư hỏng,negative
chịu đựng,negative
đầy tiêu cực,negative
tối tăm,negative
lạnh lùng,negative
bực mình,negative
không chịu được,neutral
rầu,negative
đau lòng,negative
chán nản,negative
không chấp nhận,negative
khó qua,negative
đắng lòng,negative
dở,negative
tiêu chảy,negative
nuwng,negative
toxic,negative
thất thần,negative
mất phương hướng,negative
trễ deadline,negative
không chấp nhận được,neutral
kém,negative
xấu,negative
tục tĩu,negative
quạo ghê,negative
hận,negative
đen tối,negative
mất hứng,negative
ảo tưởng,negative
đau khổ tột cùng,negative
tiêu tan,negative
hư hại,negative
chịu đắng cay,negative
chọc tức,negative
lo lắng,negative
buồn bã,negative
bực dọc,negative
xì trét,negative
chán nản tột độ,negative
ức chế nặng nề,negative
kém hiệu quả,negative
láo,negative
woke,negative
điên,negative
cô ấy 10,negative
liemhaihondai,negative
navi,negative
tuổi,negative
Buồn,negative
Chán,negative
Ghét,negative
Hận,negative
Khổ,negative
Lo lắng,negative
Xấu hổ,negative
Thất vọng,negative
Xấu,negative
Thất bại,negative
Dở,negative
Xấu xí,negative
Ghen ghét,negative
Thù hận,negative
Căng thẳng,negative
Tuyệt vọng,negative
scam,negative
cay,negative
về nhà đi,negative
khổ,negative
bất hiếu,negative
mẹ mày,neutral
nigger,toxic
racist,toxic
segg,toxic
ninh gà,toxic
ngu ,toxic
địt mẹ,toxic
cứt,toxic
gay,toxic
lgbt ,toxic
mẹ mày béo,neutral
con chó,toxic
loz,toxic
láo,negative
đm,toxic
vl,toxic
đéo,toxic
nigga,toxic
non,toxic
ggez,toxic
ez,toxic
cặc,toxic
cc,toxic
vcl,toxic
cái đéo,toxic
súc vật,toxic
gay,toxic
????,toxic
béo,toxic
bel,toxic
vãi loz,toxic
đái ,toxic
lol,toxic
loz,toxic
"Thơ hay mộc mạc giản dị nhưng lãng mạn , rất yêu thơ Ng Bính",positive
"Từ ngày cô chửa với chồng😁
Dẫu có đg gần tôi hổng dám qua 
Từ ngày bưởi chẳng ra hoa 
Đg qua dẫu ngắn, cũng vòng ra đg ngoài.",neutral
Linh Chi láo nháo vl :)),negative
Láo vô cùng,negative
Nó ghi cap j đó mọi ng,neutral
Major g2 vs navi thì g2 sẽ phải  trả giá kk,negative
G2 láo thế. Chắc bị navi bắt nạt 9 trận liên tiếp nên cay,negative
😭 đm láo với bố nó Mai Minh Huy,negative
"Đến lúc vào mây dù lại ""vui vậy thôi chứ bố bảo con này"" 🤡",positive
Láo vl snax có làm đc mẹ gì trong g2 đâu toàn monesy go kill xong ăn đc giải cái láo vậy,negative
Láo thật,negative
Xong đến lúc bố điên bố giã cho thì thì đừng hỏi tại sao🗿,negative
"Đúng thằng con bất hiếu, láo thì vô cùng",neutral
"Hay câu lắm bưởi nhiều hoa,
Đi vòng ổ gà dập cha nó rồi,
Cụ ít có thâm",positive
cứ tưởng vl 1977,toxic
Tuổi trẻ bây giờ tán gái chẳng còn lãng mạn như xưa,negative
"lấy chồng rồi đọc bài thơ này buồn vẩn vơ và nhớ nhà, thanh xuân má đào đã trôi qua.😢",negative
"Cái ngày mơ ước xa xôi 
Buồn giăng dẩn lối cho tôi yêu nàng 
Cái ngày chẳng  dám xổ sàng 
Thương nhau chỉ dám mơ màng nhìn nhau",negative
Ngày xưa mình cũng thế mà mấy khi gặp được em. Nắng nôi nhưng hy vọng .,neutral
"Gởi đến các bạn yêu thơ NGUYỄN BÍNH một chút gọi là...
. . . . . . . . . . . . . . . . . . . .
TrờI mưa ướt áo làm gì?
Năm mười bảy tuổi chị đi lấy chồng.
Người ta pháo đỏ rượu hồng
Mà trên hồn chị một vòng hoa tang.
Lần đầu chị bước sang ngang
Tuổi non sông nước đò giang chưa tường
Ở nhà em nhớ mẹ thương
Ba gian trống, một mảnh vườn xác xơ.
Mẹ ngồi bên cửi xe tơ
Thời thường nhắc: - Chị mày giờ ra sao?
Chị bây giờ.... nói thế nào?
Bướm tiên khi đã lạc vào vườn hoang.
Chị từ lỡ bước sang ngang
Trời giông bão giữa tràng giang lật thuyền.
Xuôi dòng nước chảy liên miên,
Đưa thân thế chị tới miền đau thương.
Mười năm gối hận bên giường,
Mười năm nước mắt bữa thường thay canh.
Mười năm đưa đám một mình,
Đào sâu chôn chặt mối tình đầu tiên.
Mười năm lòng lạnh như tiền,
Tim đi hết máu mà duyên không về.
    Rồi bất chợt, người chị thương yêu của nhà thơ tươi vui trở lại. Chúng ta hãy nghe thi sĩ NGUYỄN BÍNH chia sẽ niềm vui rạng rỡ mà ngườI chị của mình đã thố lộ cùng ông.

Nhưng em ơi! Một đêm hè,
Hoa xoan nở, xác con ve hoàn hồn.
Dừng chân trên bến sông buồn,
Nhà nghệ sĩ tưởng đò còn chuyến sang.
Đoái thương phận chị lỡ làng,
Đoái thương phận chị dở dang những ngày.
Rồi....rồi chị nói sao đây?
Em ơi! Nói nhỏ câu này với em...
Thế rồi máu chảy về tim,
Duyên làm lành chị duyên tìm về môi.
Chị nay lòng ấm lại rồi,
Mối tình chết đã có người hồi sinh.
Chị từ dan díu với tình,
Đời tươi như buổi bình minh nạm vàng.
Tim ai khắc một chữ NÀNG,
Mà tim chị một chữ CHÀNG khắc theo....
Nhưng yêu chỉ để mà yêu,
Chị còn dám ước một điều gì hơn.
Một lầm hay lỡ keo sơn,
Mong gì gắn lại phím đờn ngang cũng.
Rồi đêm kia lệ ròng ròng,
Tiễn đưa người ấy sang sông, chị về.
Tháng ngày qua cửa buồng the,
Chị ngồi nhặt cánh hoa lê cuối mùa.
  LỠ BƯỚC SANG NGANG
            Nguyễn Bính",positive
Thơ tình mộc mạc giản đơn rất hay ít người vượt qua đc ông,positive
Xem những đoạn văn tho của thế hệ sau yêu tho cu Nguyễn binh nhai lại van tho của cụ sao mà cũng buồn cười đang lẽ ra là tức song thời đại mo của văn hoá ngủ pháp vn rong và thoáng tha ga cho sáng tạo mà .tôi rất kính trọng nha tho nay xem ngầm từng chữ một nhà thơ thời cuộc sáng tác những van tho ngau hung thời chi có ngoi bút viết tay?,negative
Thơ tình Cụ Nguyễn Bính thật tuyệt vời,positive
100 viết năm rao vặt tổng tài,neutral
Thơ Nguyễn Binh Thơ hay mãi trong lòng nhân dân trong moi thời đại,positive
Lục bát quá hay.,positive
"Lòng ơi sao lại nhớ lòng 
Bổng nhiên lại nhớ người k nhớ mình 😆",neutral
ai chỉ t cách làm caption này vs ạ,neutral
"Bờ rào cây bưởi không hoa
Qua bên nhà thấy bên nhà vắng teo
….
Ba gian đầy cả ba gian nắng chiều 
Đọc nghe cứ nghèn nghẹn, mang mác buồn….",negative
"Vẫn thích bài tương tư của cụ. Bao năm xa trường vẫn thuộc nằm lòng. 
Trèo lên cây bưởi hái hoa
Bước xuống vườn cà hái nụ tầm xuân
Nụ tầm xuân nở ra cánh biếc
Em lấy chồng rồi anh tiếc lắm thay....",positive
Hay quá nhà thơ Huyền thoại ơi!,positive
"Đôi Nhạn 

Tác giả : Nguyễn Bính

​
Một bông cúc nở trong vườn vắng
Gió lạnh ngàn phương lướt thướt về
Lá úa dần mòn rơi rụng hết
Sương mù giăng mắc lụa lê thê

Song quạnh tóc huyền buông lả lướt
Nàng buồn đôi mắt hững hờ trông
Một hai ba cánh buồm nâu ngả
Biển dậy màu xanh sóng chập chùng

Bỗng mang biển thẳm ngang trời thẳm
Một chấm đen rồi hai chấm đen
Đôi vợ chồng son đôi nhạn nhỏ
Bay vể tổ ấm mớm hương duyên

Khoan thai bốn cánh chèo khoan nhặt
Cố đẩy đò yêu đến bến yêu
Tuy gió lạnh về sương lạnh xuống
Thì mùa thu lạnh biết bao nhiêu?

Môi nàng từ thủa xuân tô đỏ
Chưa nở một lần với ái ân
Nhưng từ thủa xuân tô đỏ má
Má kia nước mắt thấm bao lần

Bởi đâu hay bởi đôi chim nhạn
Đã mỉa mai nàng phận lẻ loi
Lẻ tẻ buồng gương nàng với bóng
Ngày ngày nhìn mãi nhạn chung đôi

Khi lẻ loi thâu khi mắt lệ
Mải nhìn đôi nhạn luyến nhau bay
Khi lòng là một nơi hoang đảo
Đan áo cho ai những lúc này?

Nàng như tâm sự như mong ngóng
Ở tận đâu đâu một sự gì
Nhưng chẳng bao giờ đưa đến cả
Tiếng chân ngựa giẫm lặng yên nghe...

..Tiếng chân ngựa giẫm trên đường sỏi
Nghệ sĩ anh chàng của bốn phương
Mưa xuống lạc đường trời lạnh lắm
Tối rồi mưa nữa ngựa chùn cương

Những câu tâm sự câu tâm sự
Đã thốt ra từ miệng ái ân
Bên đống than hồng người khách trọ
Má hồng như má gái đương xuân

Rồi một ngày sương hai ngày sương
Ngựa hồng không thấy thắng yên cương
Ái ân làm ngắn ngày lưu luyến
Cắt đứt bao nhiêu vạn dặm đường

Kể từ thu ấy mỗi thu sang
Lại thấy nàng đan áo vội vàng
Tôi thấy nàng nhìn đôi nhạn nhỏ
Bằng đôi mắt đẹp của yêu đương.

  Nguyễn Bính",positive
"Thơ hay, đậm chất làng quê Bắc Bộ :D",positive
Bài thơ thật vui khi có em…! Và buồn vời vợi khi người ấy đi lấy chồng bác ạ..!,positive
Sao ngày xưa các nhà thơ sáng tác những bài thơ hay quá !,positive
"Mình rất thích thơ cụ Bính từ hồi học cấp 3 có bài Tương tư, thơ cụ chân quê câu chữ giản dị mà nó cũng mang màu sắc tươi vui lạc quan, thơ tuy thất tình mà người đọc lại cảm giác buồn...cười chứ ko buồn. 👌👌❤️❤️❤️❤️",positive
Thơ ngây xưa chân chất như vậy mấy trẻ bây giờ biết đến,neutral
"Trong di sản thơ Nguyễn Bính thích nhất là bài này. Câu chữ giản dị, nỗi buồn trong sáng mà thấm thía.",negative
"Hay quá, dung dị nhưng sâu lắng rất đời",positive
Bài thơ nào của bác NB cũng có nỗi buồn man mác!,negative
"Nhà thơ của làng quê bắc bộ Việt Nam , hay quá đi thôi.",positive
Hay quá 👍❤,positive
"Thơ hay tình cảm nhẹ nhàng sâu kín, rất yêu thích thơ cụ Nguyễn Bính!",positive
Đúng là cụ bị giời đày thật,neutral
Ừ đúng phải đi từ xa mới đến gần...mon men đã chứ...hì...,neutral
"Thơ của cụ Nguyễn Bính rất đời, ẩn ý rất nhẹ nhàng nhưng nhiều ý nghĩa",neutral
"Thơ Ông như lời tự sự của chính mình vậy.. Một nhà thơ đại tài,song cuộc đời lắm truân chuyên,đa tình,lãng mạn và đa sầu đa cảm... Thương Ông..",negative
Hay ý hay tình cảm nhẹ nhàng,positive
thơ hay qua' <3,positive
"Trời kia có thấu cho chăng
Yêu em không nói chỉ năng đi vòng
Ngày kia nàng đã có chồng
Tiếc công qua lại chổng mông mà gào",neutral
Đọc mấy bài của cụ hay thật,positive
"quá hay, cách dùng từ rất mộc và giàu liên tưởng...",positive
mấy con cá dưới đó ..,neutral
Fact: Xưa còn bé t tưởng ổng thở ra khói màu hồng thật lớn ms bt đoa là edit,neutral
Bà ơi cho xin bí quyết trẻ đẹp như vậy đi,neutral
Mấy con cá phê pha😅,neutral
"Thông minh xinh đẹp k bằng bím hẹp ck thương Tam hợp tứ hợp cũng k bằng hợp giường hợp chiếu
Đẻ đái xong lol rộng toác đút cuuu vô như xà beng thả giếng đm điên tiết lên tui mua cái viên se khít lol chỗ c.Thanh Vânnày mua về đặt xong nó khíc tịt lỗ đút ko lọt tk ck cứ thế nhấp liên hồi, đm tk nào chả thích cái lol ngon đúng ko😂😂😂",toxic
"🍀 𝗩𝗡𝗭67.𝗖𝗢𝗠 🍀 𝗩𝗡𝗭67.𝗖𝗢𝗠 🍀 𝗩𝗡𝗭67.𝗖𝗢𝗠 🍀  
👑 TRANG QUỐC TẾ CHUYÊN BÓNG ĐÁ ĐẦU TIÊN VÀ ĐƯỢC PHÉP HOẠT ĐỘNG TẠI VIỆT NAM  
❣️ XANH CHÍN - UY TÍN - NẠ.P RÚ.T TIỀ.N TỶ NHANH , 💯 ĐẲNG CẤP QUỐC TẾ 👑
🌾 ĐĂNG KÝ 🍀 𝗩𝗡𝗭67.𝗖𝗢𝗠 🎁🍀 𝗩𝗡𝗭67.𝗖𝗢𝗠 🍀 𝗩𝗡𝗭67.𝗖𝗢𝗠 🍀THƯỞNG NẠP LẦN ĐẦU 18,888K
🏆 NHÓM BÊN MÌNH ĐANG LỘC LÁ 10% GIÁ TRỊ TIỀN NẠP X1 VÒNG CƯỢC CHO TẤT CẢ AE VÀO NHÓM VIP
🌾 NẠP 188K TẶNG 188K X1 VÒNG CƯỢC CHO NỔ HŨ - BẮN CÁ
🏆 HOÀN TRẢ LÊN ĐẾN 2% , HOÀN TIỀN CUỐI THÁNG 20% 
💁 HỔ TRỢ BẢO HIỂM VÉ CƯỢC ĐẦU TIÊN CHO AE TỰ CHỌN ( GIÁ TRỊ LÊN TỚI 8888K ) 
🍀 NHÓM BÓNG RUNG - BÓNG FT UY TÍN  
🍀 SẢNH XÓC ĐĨA WG XANH CHÍN - MC VIỆT NAM XINH ĐẸP ( KO BỊP NHƯ KUBET )
💁 SẢNH BACCARAT EVO, NỔ HŨ, BẮN CÁ, XÓC ĐĨA HOÀN TRẢ NGÀY CAO NHẤT HIỆN NAY 
💁 𝗟𝗜𝗡𝗞 𝗡𝗛𝗢́𝗠 : @nhomkeodiemquynh
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 : @lamthu47
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 𝗖𝗦𝗞𝗛 : @maihtvpk8
64646",neutral
Mấy con cá dưới nước kiểu,neutral
Gửi đến  Ếch Xanh Xinh Xắn những điều tuyệt vời nhất,positive
"⚡️ Kiếm thêm thu nhập thụ động từ  CỔ PHIẾU, VÀNG, FOREX
⚡️ Lợi nhuận 15-20%/ tháng với nhóm VIP
⚡️ Hỗ trợ 1:1 với tất cả các thành viên tham gia nhóm
👉 Tín hiệu free, tỉ lệ win cao, chia sẻ phương pháp giao dịch hiệu quả
✅ Tham gia nhóm ngay để được hỗ trợ:",neutral
"Anh chị em nào tham gia đầu tư, hay các việc làm trên mạng không lấy lại được tiền thì nhắn tin cho chị , chị chỉ cách lấy lại tiền. chị từng là nạn nhân, may mắn lấy lại được tiền nên giờ muốn giúp đỡ lại mọi người.",positive
Tính ra hồi xưa xem ông này cuốn vl mà hồi đó ngta cũng ko chê vape pod bởi lúc đó mấy bọn hs chưa đc tiếp xúc nhiều về cái này h bọn hs dùng nhiều quá xong bắt đầu tẩy chay cái này=))))),positive
"⚽️ CHƠI THẢ GA KHÔNG LO HOÀN TRẢ ⚽️
💁 TR.ANG Q.U.Ố.C T.Ế: ⚽️ 𝗣𝗞𝗩𝗜𝗡𝗔𝟵𝟮.𝗟𝗜𝗩𝗘 ⚽️ 𝗩𝗡𝗭𝟱𝟮.𝗖𝗢𝗠  ⚽️
( KO ĐẠI LÝ NÊN KO CẦN ĐIỀN MÃ GIỚI THIỆU )
💁CỔNG GAME QUỐC TẾ - UY TÍN - KO ĐẠI LÝ - XANH 9 - NẠP RÚT NHANH KO GIỚI HẠN SỐ LẦN RÚT
🍀 ĐỐI TÁC TÀI TRỢ THỂ THAO TOÀN DIỆN CHO CLB DORMUND ( ĐỨC ) VÀ VALENCIA ( TÂY BAN NHA )
🍀 TẶNG 100% LẦN NẠP  ĐẦU LÊN ĐẾN 8888K
💁 TẶNG 50% LẦN NẠP LÊN ĐẾN 3888K
💁 TẶNG 5% NẠP MỖI NGÀY - NHÓM BÓNG RUNG - BÓNG FT UY TÍN
🛑🛑 ĐẶC BIỆT TRANG 𝗩𝗡𝗭𝟱𝟮.𝗖𝗢𝗠 NỔ HŨ, BẮN CÁ NẠP 188K TẶNG 188K
🍀 SẢNH XÓC ĐĨA WG XANH CHÍN - MC VIỆT NAM XINH ĐẸP
🍀 SẢNH ĐÁ GÀ ĐA DẠNG VÀ NHIỀU HÌNH THỨC CƯỢC HẤP DẪN
✅ XỔ SỐ BẮC - TRUNG - NAM ( CÓ ĐÀI BẾN TRE ) CƯỢC XIÊN NHẬN SÁT GIỜ XỔ, UY TÍN TRẢ THƯỞNG NHANH
✅ BÀI TIẾN LÊN, POKER, CÁC DẠNG GAME BÀI HOT NHẤT HIỆN NAY
💁 SẢNH BACCARAT EVO, NỔ HŨ, BẮN CÁ, XÓC ĐĨA HOÀN TRẢ NGÀY CAO NHẤT HIỆN NAY
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 : @𝗡𝗚𝗢𝗖𝗠𝗜𝗨𝟲𝟵𝟲𝟵
☎️ 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 : @HOANGKHANH379
( 𝗡𝗛𝗜𝗘̂̀𝗨 𝗧𝗘𝗟𝗘𝗚𝗥𝗔𝗠 𝗚𝗜𝗔̉ 𝗠𝗔̣𝗢 𝗔𝗘 𝗖𝗛𝗘𝗖𝗞 𝗞𝗬̃ 𝗧𝗥𝗨̛𝗢̛́𝗖 𝗡𝗛𝗘́ )
++++++++++hfh",neutral
"Video như Lồn‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍g đèn sáng chói , ôi thật lung linh, tuyệt vời!!! Hay! Quả thật là một video vô cùng cảm động, vô cùng ý nghĩa, đã lâu lắm rồi tôi chưa được thấy một status mang đậm tính nhân văn như thế này. Xin chân thành cảm ơn vì đã cho tôi được thấy, được video này, cảm ơn Mark Zuckerberg, người đồng sáng lập ra Facebook, cảm ơn cha mẹ, ông bà tổ tiên của ông và cả nước Mĩ vì đã sinh ra và đào tạo ra một con người xuất sắc như thế này. Để tôi được thấy video này cũng phải gửi lời cảm ơn đến Bill Gates, người đồng sáng lập ra Microsoft Windows XP, cảm ơn cha mẹ ông cũng như người vợ yêu quý của ông, cảm ơn Donald Trump, vị tổng thống nước Mỹ, cảm ơn nhà nước Liên Xô cũ đã giúp Việt Nam xây dựng thành công đập thủy điện Hòa Bình và mang điện đến cho chúng tôi thắp sáng, nấu cơm cũng như sạc điện thoại để chạy ứng dụng Facebook để xem video này, cảm ơn cha mẹ đã sinh ra tôi, nuôi dưỡng tôi, cho tôi được đến trường, cảm ơn các bậc thầy cô giáo đã dạy tôi biết chữ, viết văn làm toán, dạy tôi nên người như ngày hôm nay, cảm ơn thượng đế đã ban cho tôi một đôi mắt sáng để tôi có thể nhìn xem video này, cảm ơn đến Moắc Xoen đã nghiên cứu và tìm ra sóng điện từ, và với bước sóng ngắn có bước sóng lam đa từ 10m - 100m, tần số từ 100Hz đã mang dữ liệu cho video được truyền đi xa hơn. Cảm ơn vụ nổ BigBang đã tạo ra Trái Đất, cảm ơn mẹ thiên nhiên đã ban cho Trái Đất khung cảnh này, cảm ơn tất cả những loài cây trên Trái Đất đã quang hợp lọc không khí để con người có thể hít thở và sống được như ngày hôm nay, cảm ơn Mặt Trời đã soi sáng Trái Đất, giúp cây cối quang hợp và giúp nước bốc hơi tạo thành một chu kì thời tiết như ngày hôm nay, cảm ơn Trái Đất đã rạo ra trọng lực giúp tôi có thể ngồi yên mà xem video này. Cảm ơn ông cha ta đã anh dũng hi sinh để mang lại chiến thắng vẽ vang, cảm ơn Bác Hồ vĩ đại của chúng ta, cảm ơn Đảng, cảm ơn nhà nước, cảm ơn các tổ chức và các cơ quan ban ngành đoàn thể, cảm ơn các cấp lãnh đạo đã lèo lái con thuyền xã hội chủ nghĩa.Cảm ơn đại tướng Võ Nguyên Giáp, vị đại tướng đầu tiên của Việt Nam. Cảm ơn Nữ Oa nương nương, quan âm Bồ Tát và Phật Tổ Như Lai đã cứu khổ chúng sinh. Video này thật ý nghĩa, làm sao để tôi cảm ơn hết được đây, cảm ơn những lập trình viên và nhà phát triển đã tạo ra Laban Key giúp tôi có thể gõ comment này để cảm ơn mọi người, cảm ơn những bạn rảnh háng đã bỏ thời gian quý báu của mình ra để đọc cái comment vớ vẩn, dài hơn Vạn Lý Trường Thành này. Cảm ơn chủ tus đã đăng cái status mang đầy ý nghĩa và đậm tính nhân văn này. Xin cảm ơn tất cả mn và 1 lần nữa cảm ơn vì đọc nó :))",positive
nghẹ cả vườn mới đúng,neutral
Ê ổng hút cái j z,neutral
